dataset,model,label,score_bin,count
hf_prompt_injection_test,distilbert_v4,0,0.0-0.1,16271
hf_prompt_injection_test,distilbert_v4,0,0.1-0.2,41
hf_prompt_injection_test,distilbert_v4,0,0.2-0.3,41
hf_prompt_injection_test,distilbert_v4,0,0.3-0.4,16
hf_prompt_injection_test,distilbert_v4,0,0.4-0.5,16
hf_prompt_injection_test,distilbert_v4,0,0.5-0.6,9
hf_prompt_injection_test,distilbert_v4,0,0.6-0.7,17
hf_prompt_injection_test,distilbert_v4,0,0.7-0.8,13
hf_prompt_injection_test,distilbert_v4,0,0.8-0.9,16
hf_prompt_injection_test,distilbert_v4,0,0.9-1.0,115
hf_prompt_injection_test,distilbert_v4,1,0.0-0.1,43
hf_prompt_injection_test,distilbert_v4,1,0.1-0.2,6
hf_prompt_injection_test,distilbert_v4,1,0.2-0.3,14
hf_prompt_injection_test,distilbert_v4,1,0.3-0.4,3
hf_prompt_injection_test,distilbert_v4,1,0.4-0.5,4
hf_prompt_injection_test,distilbert_v4,1,0.5-0.6,1
hf_prompt_injection_test,distilbert_v4,1,0.6-0.7,2
hf_prompt_injection_test,distilbert_v4,1,0.7-0.8,0
hf_prompt_injection_test,distilbert_v4,1,0.8-0.9,8
hf_prompt_injection_test,distilbert_v4,1,0.9-1.0,16063
hf_prompt_injection_test,roberta_v4,0,0.0-0.1,16384
hf_prompt_injection_test,roberta_v4,0,0.1-0.2,11
hf_prompt_injection_test,roberta_v4,0,0.2-0.3,1
hf_prompt_injection_test,roberta_v4,0,0.3-0.4,3
hf_prompt_injection_test,roberta_v4,0,0.4-0.5,4
hf_prompt_injection_test,roberta_v4,0,0.5-0.6,1
hf_prompt_injection_test,roberta_v4,0,0.6-0.7,2
hf_prompt_injection_test,roberta_v4,0,0.7-0.8,3
hf_prompt_injection_test,roberta_v4,0,0.8-0.9,6
hf_prompt_injection_test,roberta_v4,0,0.9-1.0,140
hf_prompt_injection_test,roberta_v4,1,0.0-0.1,48
hf_prompt_injection_test,roberta_v4,1,0.1-0.2,2
hf_prompt_injection_test,roberta_v4,1,0.2-0.3,1
hf_prompt_injection_test,roberta_v4,1,0.3-0.4,1
hf_prompt_injection_test,roberta_v4,1,0.4-0.5,3
hf_prompt_injection_test,roberta_v4,1,0.5-0.6,0
hf_prompt_injection_test,roberta_v4,1,0.6-0.7,0
hf_prompt_injection_test,roberta_v4,1,0.7-0.8,2
hf_prompt_injection_test,roberta_v4,1,0.8-0.9,3
hf_prompt_injection_test,roberta_v4,1,0.9-1.0,16084
hf_prompt_injection_test,xlm_roberta_v4,0,0.0-0.1,7827
hf_prompt_injection_test,xlm_roberta_v4,0,0.1-0.2,3246
hf_prompt_injection_test,xlm_roberta_v4,0,0.2-0.3,1888
hf_prompt_injection_test,xlm_roberta_v4,0,0.3-0.4,1231
hf_prompt_injection_test,xlm_roberta_v4,0,0.4-0.5,855
hf_prompt_injection_test,xlm_roberta_v4,0,0.5-0.6,549
hf_prompt_injection_test,xlm_roberta_v4,0,0.6-0.7,384
hf_prompt_injection_test,xlm_roberta_v4,0,0.7-0.8,275
hf_prompt_injection_test,xlm_roberta_v4,0,0.8-0.9,203
hf_prompt_injection_test,xlm_roberta_v4,0,0.9-1.0,97
hf_prompt_injection_test,xlm_roberta_v4,1,0.0-0.1,194
hf_prompt_injection_test,xlm_roberta_v4,1,0.1-0.2,315
hf_prompt_injection_test,xlm_roberta_v4,1,0.2-0.3,410
hf_prompt_injection_test,xlm_roberta_v4,1,0.3-0.4,526
hf_prompt_injection_test,xlm_roberta_v4,1,0.4-0.5,684
hf_prompt_injection_test,xlm_roberta_v4,1,0.5-0.6,939
hf_prompt_injection_test,xlm_roberta_v4,1,0.6-0.7,1291
hf_prompt_injection_test,xlm_roberta_v4,1,0.7-0.8,1909
hf_prompt_injection_test,xlm_roberta_v4,1,0.8-0.9,3045
hf_prompt_injection_test,xlm_roberta_v4,1,0.9-1.0,6831
old_prompt_injection_jsonl_test,distilbert_v4,0,0.0-0.1,213
old_prompt_injection_jsonl_test,distilbert_v4,0,0.1-0.2,3
old_prompt_injection_jsonl_test,distilbert_v4,0,0.2-0.3,1
old_prompt_injection_jsonl_test,distilbert_v4,0,0.3-0.4,2
old_prompt_injection_jsonl_test,distilbert_v4,0,0.4-0.5,0
old_prompt_injection_jsonl_test,distilbert_v4,0,0.5-0.6,2
old_prompt_injection_jsonl_test,distilbert_v4,0,0.6-0.7,0
old_prompt_injection_jsonl_test,distilbert_v4,0,0.7-0.8,4
old_prompt_injection_jsonl_test,distilbert_v4,0,0.8-0.9,4
old_prompt_injection_jsonl_test,distilbert_v4,0,0.9-1.0,21
old_prompt_injection_jsonl_test,distilbert_v4,1,0.0-0.1,0
old_prompt_injection_jsonl_test,distilbert_v4,1,0.1-0.2,0
old_prompt_injection_jsonl_test,distilbert_v4,1,0.2-0.3,0
old_prompt_injection_jsonl_test,distilbert_v4,1,0.3-0.4,1
old_prompt_injection_jsonl_test,distilbert_v4,1,0.4-0.5,1
old_prompt_injection_jsonl_test,distilbert_v4,1,0.5-0.6,1
old_prompt_injection_jsonl_test,distilbert_v4,1,0.6-0.7,0
old_prompt_injection_jsonl_test,distilbert_v4,1,0.7-0.8,0
old_prompt_injection_jsonl_test,distilbert_v4,1,0.8-0.9,1
old_prompt_injection_jsonl_test,distilbert_v4,1,0.9-1.0,246
old_prompt_injection_jsonl_test,roberta_v4,0,0.0-0.1,207
old_prompt_injection_jsonl_test,roberta_v4,0,0.1-0.2,2
old_prompt_injection_jsonl_test,roberta_v4,0,0.2-0.3,0
old_prompt_injection_jsonl_test,roberta_v4,0,0.3-0.4,0
old_prompt_injection_jsonl_test,roberta_v4,0,0.4-0.5,0
old_prompt_injection_jsonl_test,roberta_v4,0,0.5-0.6,0
old_prompt_injection_jsonl_test,roberta_v4,0,0.6-0.7,2
old_prompt_injection_jsonl_test,roberta_v4,0,0.7-0.8,1
old_prompt_injection_jsonl_test,roberta_v4,0,0.8-0.9,1
old_prompt_injection_jsonl_test,roberta_v4,0,0.9-1.0,37
