model,threshold,accuracy,precision,recall,f1,f2,tn,fp,fn,tp,is_selected
logistic_regression,0.01,0.4937154041407994,0.4937154041407994,1.0,0.661056855639498,0.8298123875610383,0,16555,0,16144,False
logistic_regression,0.02,0.4937154041407994,0.4937154041407994,1.0,0.661056855639498,0.8298123875610383,0,16555,0,16144,False
logistic_regression,0.03,0.4937154041407994,0.4937154041407994,1.0,0.661056855639498,0.8298123875610383,0,16555,0,16144,False
logistic_regression,0.04,0.4937154041407994,0.4937154041407994,1.0,0.661056855639498,0.8298123875610383,0,16555,0,16144,False
logistic_regression,0.05,0.4937154041407994,0.4937154041407994,1.0,0.661056855639498,0.8298123875610383,0,16555,0,16144,False
logistic_regression,0.06,0.49374598611578335,0.49373050339470304,1.0,0.66107039023791,0.8298209182309764,1,16554,0,16144,False
logistic_regression,0.07,0.49374598611578335,0.49373050339470304,1.0,0.66107039023791,0.8298209182309764,1,16554,0,16144,False
logistic_regression,0.08,0.49374598611578335,0.49373050339470304,1.0,0.66107039023791,0.8298209182309764,1,16554,0,16144,False
logistic_regression,0.09,0.49374598611578335,0.49373050339470304,1.0,0.66107039023791,0.8298209182309764,1,16554,0,16144,False
logistic_regression,0.1,0.49380715006575127,0.49376070467335453,1.0,0.6610974610974611,0.8298379800970475,3,16552,0,16144,False
logistic_regression,0.11,0.49392947796568704,0.4938211183164077,1.0,0.6611516094684249,0.8298721059341202,7,16548,0,16144,False
logistic_regression,0.12,0.493960059940671,0.4938362240371968,1.0,0.6611651479471691,0.8298806378319471,8,16547,0,16144,False
logistic_regression,0.13,0.493960059940671,0.4938362240371968,1.0,0.6611651479471691,0.8298806378319471,8,16547,0,16144,False
logistic_regression,0.14,0.49408238784060676,0.4938966561630006,1.0,0.6612193074071798,0.8299147671776523,12,16543,0,16144,True
logistic_regression,0.15,0.4940518058656228,0.4938811723673744,0.9999380574826561,0.6611918902314151,0.8298718924143036,12,16543,1,16143,False
logistic_regression,0.16,0.4941435517905746,0.4939261344512102,0.9998761149653121,0.6612186379928315,0.8298631460974532,16,16539,2,16142,False
logistic_regression,0.17,0.49420471574054253,0.49395636341381316,0.9998761149653121,0.6612457243512279,0.8298802118143026,18,16537,2,16142,False
logistic_regression,0.18,0.4941741337655586,0.4939401358878619,0.9996902874132805,0.6611905444713015,0.8297686375321337,20,16535,5,16139,False
logistic_regression,0.19,0.49420471574054253,0.4939545134531207,0.9995664023785926,0.6611763259787352,0.8297084683017122,23,16532,7,16137,False
logistic_regression,0.2,0.49420471574054253,0.49395266235953333,0.9992566897918731,0.6611068991660348,0.8295366894636705,28,16527,12,16132,False
logistic_regression,0.21,0.49411296981559066,0.4939043068063469,0.9987611496531219,0.6609551137528182,0.8292361811112711,33,16522,20,16124,False
logistic_regression,0.22,0.49420471574054253,0.49394747326162236,0.9983894945490585,0.660912352639672,0.8290555206929542,42,16513,26,16118,False
logistic_regression,0.23,0.4941741337655586,0.4939293598233996,0.9978939544103073,0.6607875307629204,0.8287719153839822,49,16506,34,16110,False
logistic_regression,0.24,0.49435762561546226,0.49401840490797544,0.9975842418235877,0.6607992778598392,0.8286511072692846,60,16495,39,16105,False
logistic_regression,0.25,0.4944493715404141,0.49406095577176884,0.9970887016848364,0.6607285787583376,0.8284014533178258,71,16484,47,16097,False
logistic_regression,0.26,0.4945411174653659,0.49410246959085885,0.9964073339940536,0.6606160164271048,0.8280484289420582,85,16470,58,16086,False
logistic_regression,0.27,0.4945411174653659,0.4940992070809515,0.9958498513379583,0.6604905303808389,0.8277385340939515,94,16461,67,16077,False
logistic_regression,0.28,0.4947551912902535,0.4942030322600486,0.9954162537165511,0.6604878650253797,0.8275570844448107,108,16447,74,16070,False
logistic_regression,0.29,0.49490810116517325,0.4942737516162798,0.9944871159563925,0.6603463167852589,0.82708277524779,128,16427,89,16055,False
logistic_regression,0.3,0.49509159301507694,0.4943574247656635,0.9931243805748265,0.6601202239789197,0.8263751443179944,156,16399,111,16033,False
logistic_regression,0.31,0.49499984709012507,0.49430080622741174,0.9912041625371655,0.659645072861059,0.8252792705443068,184,16371,142,16002,False
logistic_regression,0.32,0.49518333894002875,0.4943848033907744,0.9898414271555996,0.6594177481585408,0.8245699130021982,212,16343,164,15980,False
logistic_regression,0.33,0.49555032263983606,0.49456066945606697,0.9884167492566898,0.6592575760705653,0.8238762507615576,247,16308,187,15957,False
logistic_regression,0.34,0.4959173063396434,0.49473258957705335,0.9861248761149654,0.6588994888562383,0.822696501472792,296,16259,224,15920,False
logistic_regression,0.35,0.4958561423896755,0.49468698388956406,0.9833374628344896,0.658235720949518,0.8211178582142821,339,16216,269,15875,False
logistic_regression,0.36,0.49607021621456315,0.49478157615149054,0.9807978196233895,0.6577493457400407,0.8197519103729628,387,16168,310,15834,False
logistic_regression,0.37,0.4957643964647237,0.49460713613845864,0.9771432111000992,0.6567717223864441,0.8176116927542241,436,16119,369,15775,False
logistic_regression,0.38,0.4964983638643384,0.4949631681672228,0.9739222001982161,0.6563556668753914,0.8159992526623903,512,16043,421,15723,False
logistic_regression,0.39,0.49671243768922596,0.4950570102018256,0.9708870168483648,0.6557473067670746,0.8143437555202261,568,15987,470,15674,False
logistic_regression,0.4,0.4963148720144347,0.4948247396494793,0.9653741328047571,0.6542821158690176,0.8111104171871096,644,15911,559,15585,False
logistic_regression,0.41,0.4964983638643384,0.49489502903452237,0.9607903865213082,0.6532872846733774,0.8085552242540504,724,15831,633,15511,False
logistic_regression,0.42,0.4970794213890333,0.49516900459024815,0.9555252725470763,0.6523035287650379,0.8057119577139634,828,15727,718,15426,False
logistic_regression,0.43,0.4979051347135998,0.49557064338829615,0.9494549058473737,0.6512299783319879,0.8024626725022511,953,15602,816,15328,False
logistic_regression,0.44,0.49787455273861586,0.49552161026609776,0.9423934588701685,0.6495186458044272,0.7983920905970886,1066,15489,930,15214,False
logistic_regression,0.45,0.4988225939631181,0.49599132549122693,0.9350222993062438,0.6481600755721585,0.794390064203768,1216,15339,1049,15095,False
logistic_regression,0.46,0.5005046025872351,0.49686348700587474,0.9272794846382557,0.6470295852873166,0.7903489784066311,1396,15159,1174,14970,False
logistic_regression,0.47,0.5008410043120585,0.4970148252498826,0.9178642220019821,0.6448496453283433,0.7849348447928806,1559,14996,1326,14818,False
logistic_regression,0.48,0.5016972996116089,0.4974531377343113,0.9073959365708623,0.6426127390770311,0.779003233217051,1756,14799,1495,14649,False
