model,label,label_name,risk_bin,count
distilbert_v3,0,SAFE,0.0-0.1,245
distilbert_v3,0,SAFE,0.1-0.2,0
distilbert_v3,0,SAFE,0.2-0.3,0
distilbert_v3,0,SAFE,0.3-0.4,0
distilbert_v3,0,SAFE,0.4-0.5,0
distilbert_v3,0,SAFE,0.5-0.6,0
distilbert_v3,0,SAFE,0.6-0.7,0
distilbert_v3,0,SAFE,0.7-0.8,0
distilbert_v3,0,SAFE,0.8-0.9,0
distilbert_v3,0,SAFE,0.9-1.0,5
distilbert_v3,1,INJECTION,0.0-0.1,3
distilbert_v3,1,INJECTION,0.1-0.2,0
distilbert_v3,1,INJECTION,0.2-0.3,1
distilbert_v3,1,INJECTION,0.3-0.4,0
distilbert_v3,1,INJECTION,0.4-0.5,0
distilbert_v3,1,INJECTION,0.5-0.6,0
distilbert_v3,1,INJECTION,0.6-0.7,0
distilbert_v3,1,INJECTION,0.7-0.8,0
distilbert_v3,1,INJECTION,0.8-0.9,1
distilbert_v3,1,INJECTION,0.9-1.0,245
roberta_v3,0,SAFE,0.0-0.1,245
roberta_v3,0,SAFE,0.1-0.2,0
roberta_v3,0,SAFE,0.2-0.3,0
roberta_v3,0,SAFE,0.3-0.4,0
roberta_v3,0,SAFE,0.4-0.5,0
roberta_v3,0,SAFE,0.5-0.6,0
roberta_v3,0,SAFE,0.6-0.7,0
roberta_v3,0,SAFE,0.7-0.8,0
roberta_v3,0,SAFE,0.8-0.9,0
roberta_v3,0,SAFE,0.9-1.0,5
roberta_v3,1,INJECTION,0.0-0.1,16
roberta_v3,1,INJECTION,0.1-0.2,0
roberta_v3,1,INJECTION,0.2-0.3,0
roberta_v3,1,INJECTION,0.3-0.4,0
roberta_v3,1,INJECTION,0.4-0.5,0
roberta_v3,1,INJECTION,0.5-0.6,0
roberta_v3,1,INJECTION,0.6-0.7,0
roberta_v3,1,INJECTION,0.7-0.8,0
roberta_v3,1,INJECTION,0.8-0.9,0
roberta_v3,1,INJECTION,0.9-1.0,234
xlm_roberta_v3,0,SAFE,0.0-0.1,0
xlm_roberta_v3,0,SAFE,0.1-0.2,1
xlm_roberta_v3,0,SAFE,0.2-0.3,39
xlm_roberta_v3,0,SAFE,0.3-0.4,60
xlm_roberta_v3,0,SAFE,0.4-0.5,46
xlm_roberta_v3,0,SAFE,0.5-0.6,24
xlm_roberta_v3,0,SAFE,0.6-0.7,24
xlm_roberta_v3,0,SAFE,0.7-0.8,43
xlm_roberta_v3,0,SAFE,0.8-0.9,13
xlm_roberta_v3,0,SAFE,0.9-1.0,0
xlm_roberta_v3,1,INJECTION,0.0-0.1,1
xlm_roberta_v3,1,INJECTION,0.1-0.2,0
xlm_roberta_v3,1,INJECTION,0.2-0.3,2
xlm_roberta_v3,1,INJECTION,0.3-0.4,19
xlm_roberta_v3,1,INJECTION,0.4-0.5,56
xlm_roberta_v3,1,INJECTION,0.5-0.6,83
xlm_roberta_v3,1,INJECTION,0.6-0.7,71
xlm_roberta_v3,1,INJECTION,0.7-0.8,14
xlm_roberta_v3,1,INJECTION,0.8-0.9,4
xlm_roberta_v3,1,INJECTION,0.9-1.0,0
