dataset	model	accuracy	precision	recall	f1	f2	roc_auc	average_precision	tn	fp	fn	tp	evaluation_threshold	warn_threshold	block_threshold	model_path	notes
hf_prompt_injection_test	logistic_regression	0.494082388	0.493896656	1	0.661219307	0.829914767	0.544910591	0.537787919	12	16543	0	16144	0.14	0.3	0.5	F:\Capstone Project\prompt-injection-detector\models\logistic_regression_model.joblib	
hf_prompt_injection_test	linear_svm	0.494082388	0.493896283	0.999938057	0.661205431	0.829880425	0.544332327	0.534820303	13	16542	1	16143	0.01	0.3	0.5	F:\Capstone Project\prompt-injection-detector\models\linear_svm_model.joblib	
hf_prompt_injection_test	random_forest	0.495061011	0.494379613	0.999814172	0.661611297	0.830084855	0.557839953	0.536146086	47	16508	3	16141	0.09	0.3	0.5	F:\Capstone Project\prompt-injection-detector\models\random_forest_model.joblib	
hf_prompt_injection_test	distilbert_v4	0.993944769	0.992282045	0.995478196	0.993877551	0.99483732	0.999610999	0.999664313	16430	125	73	16071	0.81	0.81	0.95	F:\Capstone Project\prompt-injection-detector\models\transformers\distilbert_v4	
hf_prompt_injection_test	roberta_v4	0.993608367	0.990156875	0.996964817	0.993549184	0.995595749	0.999661541	0.999711792	16395	160	49	16095	0.18	0.3	0.45	F:\Capstone Project\prompt-injection-detector\models\transformers\roberta_v4	
hf_prompt_injection_test	xlm_roberta_v4	0.852625463	0.791415779	0.952552032	0.864539705	0.915280869	0.952630667	0.95246599	12502	4053	766	15378	0.27	0.3	0.68	F:\Capstone Project\prompt-injection-detector\models\transformers\xlm_roberta_v4	
old_prompt_injection_jsonl_test	logistic_regression	0.88	0.806452	1	0.892857		0.999328	0.999288599	190	60	0	250	0.14	0.3	0.5	F:\Capstone Project\prompt-injection-detector\models\logistic_regression_model.joblib	Metrics generated by scripts/run_dataset_evaluation.py; F2 not stored in batch metrics.
old_prompt_injection_jsonl_test	linear_svm	0.972	0.94697	1	0.972763		0.999664	0.99963493	236	14	0	250	0.01	0.3	0.5	F:\Capstone Project\prompt-injection-detector\models\linear_svm_model.joblib	Metrics generated by scripts/run_dataset_evaluation.py; F2 not stored in batch metrics.
old_prompt_injection_jsonl_test	random_forest	0.976	0.954198	1	0.976562		0.999696	0.999663995	238	12	0	250	0.09	0.3	0.5	F:\Capstone Project\prompt-injection-detector\models\random_forest_model.joblib	Metrics generated by scripts/run_dataset_evaluation.py; F2 not stored in batch metrics.
old_prompt_injection_jsonl_test	distilbert_v4	0.944	0.908088	0.988	0.94636		0.99184	0.991090808	225	25	3	247	0.81	0.81	0.95	F:\Capstone Project\prompt-injection-detector\models\transformers\distilbert_v4	Metrics generated by scripts/run_dataset_evaluation.py; F2 not stored in batch metrics.
old_prompt_injection_jsonl_test	roberta_v4	0.912	0.857639	0.988	0.918216		0.991552	0.992007309	209	41	3	247	0.18	0.3	0.45	F:\Capstone Project\prompt-injection-detector\models\transformers\roberta_v4	Metrics generated by scripts/run_dataset_evaluation.py; F2 not stored in batch metrics.
old_prompt_injection_jsonl_test	xlm_roberta_v4	0.712	0.707031	0.724	0.715415		0.80168	0.766735996	175	75	69	181	0.27	0.3	0.68	F:\Capstone Project\prompt-injection-detector\models\transformers\xlm_roberta_v4	Metrics generated by scripts/run_dataset_evaluation.py; F2 not stored in batch metrics.
