model,split,accuracy,precision,recall,f1,f2,roc_auc,average_precision,tn,fp,fn,tp,threshold,rows,prediction_time_seconds,avg_latency_ms,family,generation
roberta_v5_vi,v5_vi_validation,0.9980769230769232,1.0,0.9957805907172996,0.9978858350951374,0.9966216216216216,1.0,1.0,283,0,1,236,0.01,520,,,,
xlm_roberta_v5_vi,v5_vi_validation,0.7038461538461539,0.6106666666666667,0.9662447257383966,0.7483660130718954,0.8654572940287226,0.8678639054136661,0.8504652942583789,137,146,8,229,0.16,520,,,,
roberta_v4,vi_test,0.8273333333333334,0.7793923381770145,0.8651026392961877,0.8200138985406532,0.8464849354375896,0.9392427707949436,0.9311132806629404,651,167,92,590,0.18,1500,4.392467699999543,2.9283117999996953,roberta,v4
roberta_v4,english_v4_test,0.9933940913817358,0.989851150202977,0.9968409316154608,0.993333744830566,0.9954350891951407,0.9996442589666302,0.9996969198440577,16389,165,51,16093,0.18,32698,87.21402280000075,2.6672586335555923,roberta,v4
roberta_v5_vi,vi_test,0.9933333333333333,0.9926686217008798,0.9926686217008798,0.9926686217008798,0.9926686217008798,0.999658526267486,0.9995807842278073,813,5,5,677,0.01,1500,4.137285700000575,2.7581904666670503,roberta,v5
roberta_v5_vi,english_v4_test,0.9949844027157624,0.9960268189719395,0.9938057482656095,0.9949150440282774,0.9942491695999207,0.9995861125519712,0.9996535024425683,16490,64,100,16044,0.01,32698,89.87929029999941,2.748770270352909,roberta,v5
xlm_roberta_v4,vi_test,0.7106666666666667,0.6260162601626016,0.9032258064516129,0.7394957983193278,0.8297413793103449,0.8494799919695416,0.8180255958432795,450,368,66,616,0.27,1500,3.4024325000000317,2.268288333333355,xlm_roberta,v4
xlm_roberta_v4,english_v4_test,0.8482781821518136,0.7854991064590248,0.9529236868186323,0.861149206526911,0.9139625242095507,0.9512993589888659,0.9508953432320717,12353,4201,760,15384,0.27,32698,91.26296520000051,2.7910870756621358,xlm_roberta,v4
xlm_roberta_v5_vi,vi_test,0.682,0.593436645396536,0.9545454545454546,0.7318718381112985,0.8509803921568627,0.8702865869834874,0.8425865267720717,372,446,31,651,0.16,1500,3.5027733000006265,2.3351822000004177,xlm_roberta,v5
xlm_roberta_v5_vi,english_v4_test,0.7995596060921157,0.7194508009153318,0.9737363726461843,0.8274990788019161,0.9094485455765626,0.9528064229802984,0.9524189150566453,10424,6130,424,15720,0.16,32698,91.7236995000003,2.805177671417221,xlm_roberta,v5
